epic_id,story_id,story_status,linked,has_external_evidence_reference,has_acceptance_criteria,has_test_criteria,has_operational_observability_criteria
E01,L001,existing_link_checked,True,False,False,False,False
E01,L002,created,True,True,True,True,True
E01,L003,created,True,True,True,True,True
E01,L004,created,True,True,True,True,True
E01,L005,created,True,True,True,True,True
E02,L006,created,True,True,True,True,True
E02,L007,created,True,True,True,True,True
E02,L008,created,True,True,True,True,True
E02,L009,created,True,True,True,True,True
E02,L010,created,True,True,True,True,True
E03,L011,created,True,True,True,True,True
E03,L012,created,True,True,True,True,True
E03,L013,created,True,True,True,True,True
E03,L014,created,True,True,True,True,True
E03,L015,created,True,True,True,True,True
E04,L016,created,True,True,True,True,True
E04,L017,created,True,True,True,True,True
E04,L018,created,True,True,True,True,True
E04,L019,created,True,True,True,True,True
E04,L020,created,True,True,True,True,True
E05,L021,created,True,True,True,True,True
E05,L022,created,True,True,True,True,True
E05,L023,created,True,True,True,True,True
E05,L024,created,True,True,True,True,True
E05,L025,created,True,True,True,True,True
E06,L026,created,True,True,True,True,True
E06,L027,created,True,True,True,True,True
E06,L028,created,True,True,True,True,True
E06,L029,created,True,True,True,True,True
E06,L030,created,True,True,True,True,True
E07,L031,created,True,True,True,True,True
E07,L032,created,True,True,True,True,True
E07,L033,created,True,True,True,True,True
E07,L034,created,True,True,True,True,True
E07,L035,created,True,True,True,True,True
E08,L036,created,True,True,True,True,True
E08,L037,created,True,True,True,True,True
E08,L038,created,True,True,True,True,True
E08,L039,created,True,True,True,True,True
E08,L040,created,True,True,True,True,True
E09,L041,created,True,True,True,True,True
E09,L042,created,True,True,True,True,True
E09,L043,created,True,True,True,True,True
E09,L044,created,True,True,True,True,True
E09,L045,created,True,True,True,True,True
